id,company_name,address,employee_count,homepage,phone,found_address
1,トヨタ自動車株式会社,愛知県豊田市,370000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fglobal.toyota%2Fjp%2Fcompany%2Fprofile%2Foverview%2F&rut=098c1846c52d150e09e69bc500183ddd642f537674bc8f07654c4c79b20d16bc,0565-28-2121,愛知県豊田市トヨタ町1番地
2,ソニー株式会社,東京都港区,111700,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sony.co.jp%2Fcorporate%2F&rut=141e8a186876c5ccbe30a80c3bab32926e65aec6454800d29952b669fa342b20,,東京都港区港南1-7-1
3,ホンダ株式会社,東京都港区,215638,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fglobal.honda%2Fjp%2Fguide%2Fcorporate%2Dprofile.html&rut=65650b971c55b2388f5942f9f0760d16c90b55c95e73a5c20f3718e3288e0256,03-3423-1111,〒105-8404
4,パナソニック株式会社,大阪府門真市,259385,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fholdings.panasonic%2Fjp%2Fcorporate%2Fphd%2Fprofile.html&rut=ee99c3b31114a18160cff94c88793634ea80af1d9205efe0716f12038607a596,,
5,日本電気株式会社,東京都港区,102675,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.kensetumap.com%2Fcompany%2F13899%2Fprofile.php&rut=ccced38c232e3fd172b8e9c26271016fe7936d9c8e79639a462c5fbae2580801,03-3798-4065,〒220-6207
6,富士通株式会社,神奈川県川崎市,132138,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.fujitsu.com%2Fjp%2Fabout%2Fcorporate%2Ffacilities%2F&rut=7b4263f58ad4dfc5d27d5262cca636f17770828432117cb7eca90e4e5e69dc89,044-777-1111,〒211-8588
7,シャープ株式会社,大阪府堺市,26458,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fcorporate.jp.sharp%2Finfo%2Foutline%2F&rut=da1cbd4361249437ff0180aaf1074870955c3fc2588f726f62eb24bce322c200,072-282-1221,〒590-8522
8,日産自動車株式会社,神奈川県横浜市,138910,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.nissan%2Dglobal.com%2FJP%2FPLANT%2FYOKOHAMA%2F&rut=61221e13d1ee8aefeaea3f0aa807ed363d6b5256b72ffbfc0f73014c87394c28,045-461-7304,神奈川県横浜市神奈川区宝町2
9,キヤノン株式会社,東京都大田区,183065,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fglobal.canon%2Fja%2Fcorporate%2Flocation.html&rut=bf1a42a145196bc179779901d6a4961517aa72768b864f50a70b93a23b81e9de,,〒146-8501
10,三菱電機株式会社,東京都千代田区,145817,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.mitsubishielectric.co.jp%2Fja%2Fabout%2Fcorporate%2Ddata%2F&rut=164edf8a998a26215435dcd871f8e0f13cbf7ba8f08e232e2d3653bf773528e8,03-3218-2111,東京都千代田区丸の内2-7-3　東京ビル
11,株式会社リコー,東京都大田区,88006,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fjp.ricoh.com%2Fabout%2Ffacts&rut=294d186a0497f088a018841984aeb2fd7a9864c1677bd95c9bb06f70f5538567,,東京都大田区中馬込1-3-6 〒143-8555
12,日本IBM株式会社,東京都港区,33233,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ibm.com%2Fjp%2Dja%2Fabout%2Foffice&rut=561241b38de08d8f198bb1f8e183a89898a3829b806063af388f8841361145b6,004-0015,静岡県伊豆市冷川1524番80号
13,東京エレクトロン株式会社,東京都港区,12069,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.tel.co.jp%2Fabout%2Fsummary%2F&rut=314fb922aa99db4a263d8a0ba711f3724134e2a2dbb269442074b32538686274,042-333-8111,〒407-8511
14,日本航空株式会社,東京都品川区,39000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.jal.com%2Fja%2Foutline%2Fcompany.html&rut=3e60783e3b911de2a545619765919e9cab54a6371b824c00397490558e453a3e,,
15,ヤマハ株式会社,静岡県浜松市,31400,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.yamaha.com%2Fja%2Fabout%2Fprofile%2F&rut=558eee421f1a73e7aee1c8e4c8dac21ea7ad47befce67f62b865eac062ac0bdc,053-460-1111,静岡県浜松市中央区中沢町10番1号
16,日立製作所,東京都千代田区,295941,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.hitachi.co.jp%2Fabout%2Fcorporate%2Flocation%2Findex.html&rut=8dbaa92e45f8754ef6c00a6fb3ce0cde976ce994eab0efeb39078f449f2ee2ab,,
17,東芝株式会社,東京都港区,127065,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.global.toshiba%2Fjp%2Foutline%2Fcorporate%2Flocation.html&rut=bdd4bb84a63e8822f97d507c49953213194c03165a5c64eefff14675f679ddc3,,〒212-8585
18,三井物産株式会社,東京都千代田区,44445,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.mitsui.com%2Fjp%2Fja%2Fcompany%2Foutline%2Fmap%2Findex.html&rut=d7eed2fbfe391e3cbce0b6010b8cd0d4a4fc36ccd90bb39174a7f780b65ee126,03-3285-1111,〒100-8631
19,伊藤忠商事株式会社,東京都港区,14000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.itochu.co.jp%2Fja%2Fabout%2Fprofile%2Findex.html&rut=f48006e2e0d00893d1fb0d82d698e1fc887194843e8791d5994d3d9c377e9d3c,0001077358,東京都港区北青山2丁目5番1号
20,楽天グループ株式会社,東京都世田谷区,17623,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fcorp.rakuten.co.jp%2Fabout%2Fmap%2F&rut=c6500ba3af95268b4d5f3ffeeca82f7c544007efbf26792b6f69734f33c0776c,050-5581-6910,東京都世田谷区玉川1-14-1
21,日本郵船株式会社,東京都千代田区,14818,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.nyk.com%2Fprofile%2Fprofile%2F&rut=a3f646a64c7b36d4cec0ad8b54a61cf1f3dbbfb4bbc3ca6a2842be52de802403,03-3284-5151,東京都千代田区丸の内二丁目3番2号　郵船ビル 【所在地
22,川崎重工業株式会社,兵庫県神戸市,34543,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.khi.co.jp%2Fcorporate%2Fnetwork%2Fkobe_f.html&rut=e255e4f6007ccd444fa3edccfb9b7b86b1057aaf7b0e95d07ecacc58473cfd6f,078-682-5001,〒650-8670
23,大和ハウス工業株式会社,大阪府大阪市,27000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.daiwahouse.co.jp%2Fcompany%2Foutline%2F&rut=4975b0f7b530eacefa8c98bf3f2920b72e59dc7dc31519a286da54b6b9ba2752,,
24,積水ハウス株式会社,大阪府大阪市,22000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sekisuihouse.co.jp%2Fcompany%2Finfo%2Foutline%2F&rut=106ffc2aafcd87ec42da5820453aa07df63070eebb5db904de81e944d66fd1ad,,〒531-0076
25,日本製鉄株式会社,東京都千代田区,70000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.nipponsteel.com%2Fcompany%2Flocation%2Fhq.html&rut=d6daf3eeaded98f598371e15c2f480db73bbd983788fa084f0ea20b13bdacf7f,050-8550,〒460-0003
26,ソフトバンク株式会社,東京都港区,22000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.softbank.jp%2Fcorp%2Faboutus%2Fprofile%2F&rut=0fdcb730ea85e4ce9deef5d7eabe3eb791321143f8ea14b3d16a1af3954e7f77,01081306247,東京都港区海岸一丁目7番1号
27,ファーストリテイリング,山口県山口市,56000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.fastretailing.com%2Fjp%2Fabout%2Fcompany%2F&rut=571588f772839a96c6d0070a53aeaa1c17ff6f2f1c6ca9c614bc46cf3fa2dee5,,〒107-6231
28,日本たばこ産業株式会社,東京都港区,46000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.jti.co.jp%2Fcorporate%2Foutline%2Fjt%2Findex.html&rut=9613d0177fdb42599ad94a65939c72fa637a08411bbc7c3f68e36f605ad37876,03-6636-2914,東京都港区⻁ノ⾨4-1-1
29,オリックス株式会社,東京都港区,31000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.orix.co.jp%2Fgrp%2Fcompany%2Fabout%2Fsummary%2Ftokyo.html&rut=c400af7e121b21cf08caf15b015d07b92e073198f0ac588e7445c2a78ffbab74,03-3435-3000,東京都港区浜松町二丁目4番1号　世界貿易センタービル南館
30,三井住友銀行,東京都千代田区,57000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.bankdb.jp%2Fbanks%2F0009%2Fbranches%2Fcities%2F13101&rut=07add0f005d1ec6011dc19454811577b1216afb04537d78ecd7f418c48161d31,,〒102-0083
31,ワビサビ株式会社,大阪府大阪市,40,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwbisbi.co.jp%2F&rut=69a92424aa584c5854434df57be545eb9bbcaca8b118ad3c1d97588646cef658,,
1,トヨタ自動車株式会社,愛知県豊田市,370000,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fglobal.toyota%2Fjp%2Fcompany%2Fprofile%2Foverview%2F&rut=098c1846c52d150e09e69bc500183ddd642f537674bc8f07654c4c79b20d16bc,,
2,ソニー株式会社,東京都港区,111700,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sony.co.jp%2Fcorporate%2F&rut=141e8a186876c5ccbe30a80c3bab32926e65aec6454800d29952b669fa342b20,,〒108-0075
